name	description	rank	annotation_method	automated_annotation_algorithm_name	automated_annotation_algorithm_version	automated_annotation_algorithm_repo_url	automated_annotation_reference_location
Group		0					
Subclass		1					
Class		2					
Neighborhood		3					
